Date,Observed,Climatology
1-Jan-2020,0,0.0
2-Jan-2020,0,0.1
3-Jan-2020,0,0.1
4-Jan-2020,0,0.1
5-Jan-2020,0,0.2
6-Jan-2020,0,0.2
7-Jan-2020,0,0.2
8-Jan-2020,0,0.2
9-Jan-2020,0,0.2
10-Jan-2020,0,0.2
11-Jan-2020,0,0.2
12-Jan-2020,0,0.2
13-Jan-2020,0,0.2
14-Jan-2020,0,0.2
15-Jan-2020,0,0.2
16-Jan-2020,0,0.2
17-Jan-2020,0,0.2
18-Jan-2020,0,0.2
19-Jan-2020,0,0.2
20-Jan-2020,0,0.2
21-Jan-2020,0,0.2
22-Jan-2020,0,0.2
23-Jan-2020,0,0.2
24-Jan-2020,0,0.2
25-Jan-2020,0,0.2
26-Jan-2020,0,0.2
27-Jan-2020,0,0.2
28-Jan-2020,0,0.2
29-Jan-2020,0,0.2
30-Jan-2020,0,0.2
31-Jan-2020,0,0.2
1-Feb-2020,0,0.2
2-Feb-2020,0,0.2
3-Feb-2020,0,0.2
4-Feb-2020,0,0.2
5-Feb-2020,0,0.2
6-Feb-2020,0,0.2
7-Feb-2020,0,0.2
8-Feb-2020,0,0.2
9-Feb-2020,0,0.2
10-Feb-2020,0,0.2
11-Feb-2020,0,0.2
12-Feb-2020,0,0.2
13-Feb-2020,0,0.2
14-Feb-2020,0,0.2
15-Feb-2020,0,0.2
16-Feb-2020,0,0.2
17-Feb-2020,0,0.2
18-Feb-2020,0,0.2
19-Feb-2020,0,0.2
20-Feb-2020,0,0.2
21-Feb-2020,0,0.2
22-Feb-2020,0,0.2
23-Feb-2020,0,0.2
24-Feb-2020,0,0.2
25-Feb-2020,0,0.2
26-Feb-2020,0,0.2
27-Feb-2020,0,0.2
28-Feb-2020,0,0.2
29-Feb-2020,0,0.2
1-Mar-2020,0,0.2
2-Mar-2020,0,0.2
3-Mar-2020,0,0.2
4-Mar-2020,0,0.2
5-Mar-2020,0,0.2
6-Mar-2020,0,0.2
7-Mar-2020,0,0.2
8-Mar-2020,0,0.2
9-Mar-2020,0,0.2
