year,storm_number,name,start_month,start_day,end_month,end_day,latitude,longitude,intensity,mslp,nsd,hd,mhd,ace,basin,storm_charnumber
2020,1,ARTHUR,5,17,5,19,28.9,-78.0,50,991,2.5,0,0,1.75,AL,01,
2020,2,BERTHA,5,27,5,27,31.4,-78.9,45,1007,0.5,0,0,0.36,AL,02,
2020,3,CRISTOBAL,6,2,6,8,19.5,-92.5,50,992,4.75,0,0,3.45,AL,03,
2020,4,DOLLY,6,23,6,24,39.0,-63.9,40,1002,1.0,0,0,0.56,AL,04,
2020,5,EDOUARD,7,6,7,6,36.4,-58.5,40,1005,1.0,0,0,0.57,AL,05,
2020,6,FAY,7,9,7,11,35.4,-74.9,50,998,1.5,0,0,1.1,AL,06,
2020,7,GONZALO,7,22,7,25,9.8,-41.9,55,997,3.5,0,0,2.78,AL,07,
2020,8,HANNA,7,24,7,26,26.2,-91.1,75,973,3.0,0.75,0,3.38,AL,08,
2020,9,ISAIAS,7,30,8,4,15.5,-65.7,75,987,6.0,2.25,0,9.19,AL,09,
2020,10,JOSEPHINE,8,13,8,16,13.2,-48.6,40,1005,3.0,0,0,1.77,AL,11,
2020,11,KYLE,8,14,8,16,37.4,-72.6,45,1000,1.5,0,0,1.01,AL,12,
2020,12,LAURA,8,21,8,28,17.0,-59.4,130,938,6.75,2.25,1.0,12.75,AL,13,
2020,13,MARCO,8,22,8,25,18.3,-84.6,65,991,3.25,0.25,0,3.44,AL,14,
2020,14,OMAR,9,2,9,2,35.8,-70.7,35,1003,0.75,0,0,0.37,AL,15,
2020,15,NANA,9,1,9,3,15.9,-75.2,65,994,2.75,0.25,0,2.59,AL,16,
2020,16,PAULETTE,9,7,9,22,17.1,-42.1,90,965,10.25,3.5,0,15.85,AL,17,
2020,17,RENE,9,7,9,12,15.9,-21.8,45,1000,4.0,0,0,2.2,AL,18,
2020,18,SALLY,9,12,9,17,25.6,-81.5,90,967,4.5,2.0,0,7.36,AL,19,
2020,19,TEDDY,9,14,9,23,13.0,-40.4,120,945,9.0,7.25,2.75,27.79,AL,20,
2020,20,VICKY,9,14,9,17,18.6,-28.4,45,1000,3.0,0,0,2.07,AL,21,
2020,21,BETA,9,18,9,22,24.1,-93.1,50,994,4.0,0,0,3.34,AL,22,
2020,22,WILFRED,9,18,9,20,12.0,-33.5,35,1007,1.75,0,0,0.86,AL,23,
2020,23,ALPHA,9,18,9,18,38.9,-10.3,45,998,0.5,0,0,0.41,AL,24,
2020,24,GAMMA,10,3,10,5,18.8,-85.8,60,980,2.75,0,0,2.51,AL,25,
2020,25,DELTA,10,5,10,10,16.4,-78.3,120,953,5.25,4.25,2.0,15.68,AL,26,
2020,26,EPSILON,10,19,10,26,25.7,-55.7,100,952,6.75,4.75,0.5,13.13,AL,27,
2020,27,ZETA,10,25,10,29,17.7,-83.4,90,973,4.5,2.25,0,7.48,AL,28,
2020,28,ETA,11,1,11,13,14.9,-73.6,130,923,10.25,2.5,1.25,18.07,AL,29,
2020,29,THETA,11,10,11,15,28.8,-41.0,60,989,5.25,0,0,5.31,AL,30,
2020,30,IOTA,11,13,11,18,14.0,-74.1,140,917,4.5,2.5,1.25,12.65,AL,31,
