Date,Observed,Climatology
1-Jan-2020,0,0.0
2-Jan-2020,0,0.0
3-Jan-2020,0,0.0
4-Jan-2020,0,0.0
5-Jan-2020,0,0.0
6-Jan-2020,0,0.0
7-Jan-2020,0,0.0
8-Jan-2020,0,0.0
9-Jan-2020,0,0.0
10-Jan-2020,0,0.0
11-Jan-2020,0,0.0
12-Jan-2020,0,0.0
13-Jan-2020,0,0.0
14-Jan-2020,0,0.0
15-Jan-2020,0,0.0
16-Jan-2020,0,0.0
17-Jan-2020,0,0.0
18-Jan-2020,0,0.0
19-Jan-2020,0,0.0
20-Jan-2020,0,0.0
21-Jan-2020,0,0.0
22-Jan-2020,0,0.0
23-Jan-2020,0,0.0
24-Jan-2020,0,0.0
25-Jan-2020,0,0.0
26-Jan-2020,0,0.0
27-Jan-2020,0,0.0
28-Jan-2020,0,0.0
29-Jan-2020,0,0.1
30-Jan-2020,0,0.1
31-Jan-2020,0,0.2
1-Feb-2020,0,0.3
2-Feb-2020,0,0.4
3-Feb-2020,0,0.5
4-Feb-2020,0,0.5
5-Feb-2020,0,0.5
6-Feb-2020,0,0.5
7-Feb-2020,0,0.5
8-Feb-2020,0,0.5
9-Feb-2020,0,0.5
10-Feb-2020,0,0.5
11-Feb-2020,0,0.5
12-Feb-2020,0,0.5
13-Feb-2020,0,0.5
14-Feb-2020,0,0.5
15-Feb-2020,0,0.5
16-Feb-2020,0,0.5
17-Feb-2020,0,0.5
18-Feb-2020,0,0.5
19-Feb-2020,0,0.5
20-Feb-2020,0,0.5
21-Feb-2020,0,0.5
22-Feb-2020,0,0.5
23-Feb-2020,0,0.5
24-Feb-2020,0,0.5
25-Feb-2020,0,0.5
26-Feb-2020,0,0.5
27-Feb-2020,0,0.5
28-Feb-2020,0,0.5
29-Feb-2020,0,0.5
1-Mar-2020,0,0.5
2-Mar-2020,0,0.5
3-Mar-2020,0,0.5
4-Mar-2020,0,0.5
5-Mar-2020,0,0.5
6-Mar-2020,0,0.5
7-Mar-2020,0,0.5
8-Mar-2020,0,0.5
9-Mar-2020,0,0.5
10-Mar-2020,0,0.5
11-Mar-2020,0,0.5
12-Mar-2020,0,0.5
13-Mar-2020,0,0.5
14-Mar-2020,0,0.5
15-Mar-2020,0,0.5
16-Mar-2020,0,0.5
17-Mar-2020,0,0.5
18-Mar-2020,0,0.5
19-Mar-2020,0,0.5
20-Mar-2020,0,0.5
21-Mar-2020,0,0.5
22-Mar-2020,0,0.5
23-Mar-2020,0,0.5
24-Mar-2020,0,0.5
25-Mar-2020,0,0.5
26-Mar-2020,0,0.5
27-Mar-2020,0,0.5
28-Mar-2020,0,0.5
29-Mar-2020,0,0.5
30-Mar-2020,0,0.5
31-Mar-2020,0,0.5
1-Apr-2020,0,0.5
2-Apr-2020,0,0.5
3-Apr-2020,0,0.5
4-Apr-2020,0,0.5
5-Apr-2020,0,0.5
6-Apr-2020,0,0.5
