year,storm_number,name,start_month,start_day,end_month,end_day,latitude,longitude,intensity,mslp,nsd,hd,mhd,ace,basin,storm_charnumber
2020,1,AMANDA,5,31,5,31,13.3,-90.5,35,1003,0.5,0,0,0.24,EP,02,
2020,2,BORIS,6,25,6,26,11.0,-136.7,35,1005,0.5,0,0,0.24,EP,03,
2020,3,CRISTINA,7,7,7,12,10.9,-100.8,60,993,6.0,0,0,5.93,EP,05,
2020,4,DOUGLAS,7,21,7,29,13.3,-121.0,115,954,8.5,5.25,2.0,20.6,EP,08,
2020,5,ELIDA,8,9,8,12,15.6,-103.4,85,975,3.75,1.75,0,6.04,EP,09,
2020,6,FAUSTO,8,16,8,16,20.4,-119.3,35,1004,0.25,0,0,0.12,EP,11,
2020,7,GENEVIEVE,8,16,8,21,11.8,-98.0,115,950,5.0,3.25,0.75,11.82,EP,12,
2020,8,HERNAN,8,26,8,28,17.5,-105.9,40,1001,1.75,0,0,0.93,EP,13,
2020,9,ISELLE,8,26,8,30,15.4,-116.8,50,997,3.5,0,0,2.48,EP,14,
2020,10,JULIO,9,5,9,6,15.8,-101.9,40,1004,1.25,0,0,0.69,EP,15,
2020,11,KARINA,9,13,9,16,17.0,-113.4,50,996,3.5,0,0,2.66,EP,16,
2020,12,LOWELL,9,21,9,25,17.3,-112.9,45,999,4.0,0,0,2.66,EP,17,
2020,13,MARIE,9,29,10,6,13.6,-109.0,115,948,7.25,4.0,2.25,18.68,EP,18,
2020,14,NORBERT,10,6,10,14,13.1,-105.5,45,1001,2.75,0,0,1.54,EP,19,
2020,15,ODALYS,11,3,11,5,13.7,-115.5,45,1000,2.25,0,0,1.38,EP,20,
2020,16,POLO,11,18,11,19,15.7,-114.6,40,1004,1.25,0,0,0.73,EP,21,
