Date,Observed,Climatology
1-Jan-2020,0,0.0
2-Jan-2020,0,0.0
3-Jan-2020,0,0.0
4-Jan-2020,0,0.0
5-Jan-2020,0,0.0
6-Jan-2020,0,0.0
7-Jan-2020,0,0.0
8-Jan-2020,0,0.0
9-Jan-2020,0,0.0
10-Jan-2020,0,0.1
11-Jan-2020,0,0.1
12-Jan-2020,0,0.1
13-Jan-2020,0,0.1
14-Jan-2020,0,0.1
15-Jan-2020,0,0.1
16-Jan-2020,0,0.1
17-Jan-2020,0,0.1
18-Jan-2020,0,0.2
19-Jan-2020,0,0.2
20-Jan-2020,0,0.2
21-Jan-2020,0,0.2
22-Jan-2020,0,0.2
23-Jan-2020,0,0.2
24-Jan-2020,0,0.2
25-Jan-2020,0,0.2
26-Jan-2020,0,0.2
27-Jan-2020,0,0.2
28-Jan-2020,0,0.2
29-Jan-2020,0,0.2
30-Jan-2020,0,0.2
31-Jan-2020,0,0.2
1-Feb-2020,0,0.2
2-Feb-2020,0,0.2
3-Feb-2020,0,0.2
4-Feb-2020,0,0.3
5-Feb-2020,0,0.3
6-Feb-2020,0,0.3
7-Feb-2020,0,0.3
8-Feb-2020,0,0.3
9-Feb-2020,0,0.3
10-Feb-2020,0,0.3
11-Feb-2020,0,0.3
12-Feb-2020,0,0.3
13-Feb-2020,0,0.3
14-Feb-2020,0,0.3
15-Feb-2020,0,0.3
16-Feb-2020,0,0.3
17-Feb-2020,0,0.3
18-Feb-2020,0,0.3
19-Feb-2020,0,0.3
20-Feb-2020,0,0.3
21-Feb-2020,0,0.3
22-Feb-2020,0,0.3
23-Feb-2020,0,0.3
24-Feb-2020,0,0.3
25-Feb-2020,0,0.3
26-Feb-2020,0,0.3
27-Feb-2020,0,0.3
28-Feb-2020,0,0.3
29-Feb-2020,0,0.3
1-Mar-2020,0,0.3
2-Mar-2020,0,0.3
3-Mar-2020,0,0.3
4-Mar-2020,0,0.3
5-Mar-2020,0,0.3
6-Mar-2020,0,0.3
7-Mar-2020,0,0.3
8-Mar-2020,0,0.3
9-Mar-2020,0,0.3
10-Mar-2020,0,0.3
11-Mar-2020,0,0.3
12-Mar-2020,0,0.3
13-Mar-2020,0,0.3
14-Mar-2020,0,0.3
15-Mar-2020,0,0.3
16-Mar-2020,0,0.3
17-Mar-2020,0,0.3
18-Mar-2020,0,0.3
19-Mar-2020,0,0.3
20-Mar-2020,0,0.3
21-Mar-2020,0,0.3
22-Mar-2020,0,0.3
23-Mar-2020,0,0.3
24-Mar-2020,0,0.3
25-Mar-2020,0,0.3
26-Mar-2020,0,0.3
27-Mar-2020,0,0.3
28-Mar-2020,0,0.3
29-Mar-2020,0,0.3
30-Mar-2020,0,0.3
31-Mar-2020,0,0.3
1-Apr-2020,0,0.3
2-Apr-2020,0,0.3
3-Apr-2020,0,0.3
4-Apr-2020,0,0.3
5-Apr-2020,0,0.3
6-Apr-2020,0,0.3
