year,storm_number,name,start_month,start_day,end_month,end_day,latitude,longitude,intensity,mslp,nsd,hd,mhd,ace,basin,storm_charnumber
2020,1,VONGFONG,5,12,5,16,11.9,129.2,105,957,3.25,2.0,0.5,7.08,WP,01,
2020,2,NURI,6,13,6,13,18.4,115.5,35,997,0.75,0,0,0.37,WP,02,
2020,3,HAGUPIT,8,2,8,4,22.6,125.0,75,971,2.25,0.75,0,2.77,WP,03,
2020,4,SINLAKU,8,1,8,2,18.9,108.4,35,993,1.5,0,0,0.74,WP,04,
2020,5,JANGMI,8,9,8,11,25.4,126.3,40,990,2.0,0,0,1.06,WP,05,
2020,6,SIX,8,9,8,10,26.1,147.6,45,1005,1.0,0,0,0.61,WP,06,
2020,7,MEKKHALA,8,10,8,11,19.2,118.5,70,980,1.25,0.25,0,1.24,WP,07,
2020,8,HIGOS,8,18,8,19,20.6,115.6,55,991,1.0,0,0,0.83,WP,08,
2020,9,BAVI,8,22,8,27,24.3,123.2,95,945,4.75,3.25,0,10.69,WP,09,
2020,10,MAYSAK,8,28,9,3,16.3,129.5,125,921,6.0,4.5,2.25,18.54,WP,10,
2020,11,HAISHEN,8,31,9,7,22.1,144.9,135,915,7.0,4.75,2.5,23.45,WP,11,
2020,12,NOUL,9,15,9,18,12.8,118.4,50,990,2.75,0,0,2.04,WP,13,
2020,13,DOLPHIN,9,20,9,24,23.9,133.9,60,980,4.25,0,0,3.64,WP,14,
2020,14,KUJIRA,9,27,9,30,23.3,156.6,65,974,3.0,0.5,0,2.89,WP,15,
2020,15,CHAN-HOM,10,5,10,11,22.3,139.0,80,962,6.75,2.25,0,8.72,WP,16,
2020,16,LINFA,10,10,10,11,14.7,112.2,40,999,1.25,0,0,0.73,WP,17,
2020,17,NANGKA,10,12,10,14,17.9,115.7,50,989,2.25,0,0,1.58,WP,18,
2020,18,SAUDEL,10,20,10,25,15.6,124.9,85,968,5.75,2.0,0,7.38,WP,19,
2020,19,MOLAVE,10,24,10,28,13.5,127.8,110,950,3.5,2.75,1.0,9.4,WP,21,
2020,20,GONI,10,28,11,5,16.6,138.7,170,884,7.5,3.25,2.5,26.12,WP,22,
2020,21,ATSANI,11,2,11,7,19.9,127.1,55,993,4.75,0,0,3.81,WP,23,
2020,22,ETAU,11,9,11,9,12.9,113.4,40,998,1.0,0,0,0.56,WP,24,
2020,23,VAMCO,11,10,11,15,13.3,128.5,115,945,5.75,4.5,1.0,14.73,WP,25,
