Date,Observed,Climatology
1-Jul-2020,0.0,0.0
2-Jul-2020,0.0,0.0
3-Jul-2020,0,0.0
4-Jul-2020,0,0.0
5-Jul-2020,0,0.0
6-Jul-2020,0,0.0
7-Jul-2020,0.0,0.0
8-Jul-2020,0.0,0.0
9-Jul-2020,0.0,0.0
10-Jul-2020,0.0,0.0
11-Jul-2020,0.0,0.0
12-Jul-2020,0.0,0.0
13-Jul-2020,0.0,0.0
14-Jul-2020,0.0,0.0
15-Jul-2020,0.0,0.0
16-Jul-2020,0.0,0.0
17-Jul-2020,0.0,0.0
18-Jul-2020,0.0,0.0
19-Jul-2020,0.0,0.0
20-Jul-2020,0.0,0.1
21-Jul-2020,0.0,0.1
22-Jul-2020,0.0,0.1
23-Jul-2020,0.0,0.1
24-Jul-2020,0.0,0.1
25-Jul-2020,0.0,0.1
26-Jul-2020,0.0,0.1
27-Jul-2020,0.0,0.1
28-Jul-2020,0.0,0.1
29-Jul-2020,0.0,0.1
30-Jul-2020,0.0,0.2
31-Jul-2020,0.0,0.2
1-Aug-2020,0.0,0.2
2-Aug-2020,0.0,0.2
3-Aug-2020,0.0,0.2
4-Aug-2020,0.0,0.2
5-Aug-2020,0.0,0.2
6-Aug-2020,0.0,0.2
7-Aug-2020,0.0,0.2
8-Aug-2020,0.0,0.2
9-Aug-2020,0.0,0.2
10-Aug-2020,0.0,0.2
11-Aug-2020,0.0,0.2
12-Aug-2020,0.0,0.2
13-Aug-2020,0.0,0.2
14-Aug-2020,0.0,0.2
15-Aug-2020,0.0,0.2
16-Aug-2020,0.0,0.2
17-Aug-2020,0.0,0.2
18-Aug-2020,0.0,0.3
19-Aug-2020,0.0,0.3
20-Aug-2020,0.0,0.3
21-Aug-2020,0.0,0.3
22-Aug-2020,0.0,0.3
23-Aug-2020,0.0,0.3
24-Aug-2020,0.0,0.3
25-Aug-2020,0.0,0.3
26-Aug-2020,0.0,0.3
27-Aug-2020,0.0,0.3
28-Aug-2020,0.0,0.3
29-Aug-2020,0.0,0.3
30-Aug-2020,0.0,0.3
31-Aug-2020,0.0,0.3
1-Sep-2020,0.0,0.3
2-Sep-2020,0.0,0.3
3-Sep-2020,0.0,0.3
4-Sep-2020,0.0,0.4
5-Sep-2020,0.0,0.4
6-Sep-2020,0.0,0.4
7-Sep-2020,0.0,0.4
8-Sep-2020,0.0,0.4
9-Sep-2020,0.0,0.4
10-Sep-2020,0.0,0.4
11-Sep-2020,0.0,0.4
12-Sep-2020,0.0,0.4
13-Sep-2020,0.0,0.4
14-Sep-2020,0.0,0.4
15-Sep-2020,0.0,0.4
16-Sep-2020,0.0,0.4
17-Sep-2020,0.0,0.4
18-Sep-2020,0.0,0.4
19-Sep-2020,0.0,0.4
20-Sep-2020,0.0,0.4
21-Sep-2020,0.0,0.4
22-Sep-2020,0.0,0.4
23-Sep-2020,0.0,0.5
24-Sep-2020,0.0,0.5
25-Sep-2020,0.0,0.5
26-Sep-2020,0.0,0.5
27-Sep-2020,0.0,0.6
28-Sep-2020,0.0,0.6
29-Sep-2020,0.0,0.7
30-Sep-2020,0.0,0.7
