year,storm_number,name,start_month,start_day,end_month,end_day,latitude,longitude,intensity,mslp,nsd,hd,mhd,ace,basin,storm_charnumber
2020,1,ALICIA,11,14,11,17,-7.4,79.7,65,983,3.75,0.75,0,4.2,SH,01,
2020,2,BONGOYO,12,7,12,11,-15.1,80.9,55,992,4.25,0,0,3.41,SH,02,
2020,3,THREE,12,8,12,11,-11.0,108.5,45,992,3.0,0,0,1.75,SH,03,
2020,4,CHALANE,12,25,12,30,-15.8,56.5,60,990,4.0,0,0,2.89,SH,07,
2021,5,DANILO,1,1,1,8,-11.2,72.1,70,979,6.5,0.75,0,6.17,SH,08,
2021,6,JOSHUA,1,15,1,18,-16.4,94.1,45,998,3.25,0,0,1.9,SH,10,
2021,7,ELOISE,1,17,1,23,-12.6,62.1,85,975,6.75,1.25,0,7.05,SH,12,
2021,8,THIRTEEN,1,21,1,26,-12.4,97.2,35,999,4.0,0,0,1.96,SH,13,
2021,9,FOURTEEN,1,21,1,22,-18.8,120.4,40,997,1.0,0,0,0.56,SH,14,
2021,10,EIGHTEEN,2,4,2,6,-24.4,113.7,35,991,2.25,0,0,1.1,SH,18,
2021,11,FARAJI,2,5,2,14,-12.6,81.4,140,920,9.0,6.0,3.0,28.71,SH,19,
2021,12,GUAMBE,2,18,2,22,-21.9,37.4,70,976,1.75,0.25,0,2.16,SH,21,
2021,13,MARIAN,2,26,3,6,-14.0,100.8,100,952,8.25,4.5,0.25,15.79,SH,22,
2021,14,HABANA,3,4,3,16,-16.4,72.5,130,931,11.75,9.25,5.75,42.93,SH,24,
2021,15,IMAN,3,7,3,8,-24.4,58.0,45,991,0.75,0,0,0.61,SH,25,
2021,16,SEROJA,4,4,4,8,-10.4,123.2,55,990,3.5,0,0,3.19,SH,26,
2021,17,TWENTY-SE,4,4,4,8,-14.9,104.8,45,993,3.25,0,0,2.05,SH,27,
