Date,Observed,Climatology
1-Jul-2019,0,0.0
2-Jul-2019,0,0.0
3-Jul-2019,0,0.0
4-Jul-2019,0,0.0
5-Jul-2019,0,0.0
6-Jul-2019,0,0.0
7-Jul-2019,0,0.0
8-Jul-2019,0,0.0
9-Jul-2019,0,0.0
10-Jul-2019,0,0.0
11-Jul-2019,0,0.0
12-Jul-2019,0,0.0
13-Jul-2019,0,0.0
14-Jul-2019,0,0.0
15-Jul-2019,0,0.0
16-Jul-2019,0,0.0
17-Jul-2019,0,0.0
18-Jul-2019,0,0.0
19-Jul-2019,0,0.0
20-Jul-2019,0,0.0
21-Jul-2019,0,0.0
22-Jul-2019,0,0.0
23-Jul-2019,0,0.0
24-Jul-2019,0,0.0
25-Jul-2019,0,0.0
26-Jul-2019,0,0.0
27-Jul-2019,0,0.0
28-Jul-2019,0,0.0
29-Jul-2019,0,0.0
30-Jul-2019,0,0.0
31-Jul-2019,0,0.0
1-Aug-2019,0,0.0
2-Aug-2019,0,0.0
3-Aug-2019,0,0.0
4-Aug-2019,0,0.0
5-Aug-2019,0,0.0
6-Aug-2019,0,0.0
7-Aug-2019,0,0.0
8-Aug-2019,0,0.0
9-Aug-2019,0,0.0
10-Aug-2019,0,0.0
11-Aug-2019,0,0.0
12-Aug-2019,0,0.0
13-Aug-2019,0,0.0
14-Aug-2019,0,0.0
15-Aug-2019,0,0.0
16-Aug-2019,0,0.0
17-Aug-2019,0,0.0
18-Aug-2019,0,0.0
19-Aug-2019,0,0.0
20-Aug-2019,0,0.0
21-Aug-2019,0,0.0
22-Aug-2019,0,0.0
23-Aug-2019,0,0.0
24-Aug-2019,0,0.0
25-Aug-2019,0,0.0
26-Aug-2019,0,0.0
27-Aug-2019,0,0.0
28-Aug-2019,0,0.0
29-Aug-2019,0,0.0
30-Aug-2019,0,0.0
31-Aug-2019,0,0.0
1-Sep-2019,0,0.0
2-Sep-2019,0,0.0
3-Sep-2019,0,0.0
4-Sep-2019,0,0.0
5-Sep-2019,0,0.0
6-Sep-2019,0,0.0
7-Sep-2019,0,0.0
8-Sep-2019,0,0.0
9-Sep-2019,0,0.0
10-Sep-2019,0,0.0
11-Sep-2019,0,0.0
12-Sep-2019,0,0.0
13-Sep-2019,0,0.0
14-Sep-2019,0,0.0
15-Sep-2019,0,0.0
16-Sep-2019,0,0.0
17-Sep-2019,0,0.0
