SH, 01, 2019112400,   , BEST,   0, 102S, 1682E,  35,  997, XX,  34, NEQ,  150,   50,    0,    0, 1004,  170,  50,   0,   0,   P,   0,   X, 155,   7,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112406,   , BEST,   0, 102S, 1690E,  40,  992, XX,  34, NEQ,  170,  125,    0,  195, 1004,  170,  50,   0,   0,   P,   0,   X, 125,   5,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112412,   , BEST,   0, 106S, 1691E,  50,  991, XX,  34, NEQ,  100,   95,   50,   45, 1004,  170,  50,   0,   0,   P,   0,   X, 130,   5,        ONE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112418,   , BEST,   0, 112S, 1693E,  55,  988, XX,  34, NEQ,   90,  100,   60,   50, 1004,  165,  50,   0,   0,   P,   0,   X, 140,   5,       RITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112500,   , BEST,   0, 118S, 1697E,  65,  983, XX,  34, NEQ,  135,   95,   60,   50, 1005,  170,  10,   0,   0,   P,   0,   X, 150,   6,       RITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112506,   , BEST,   0, 123S, 1703E,  65,  984, XX,  34, NEQ,   65,   55,   45,   55, 1004,  170,  12,   0,   0,   P,   0,   X, 145,   7,       RITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112512,   , BEST,   0, 127S, 1707E,  60,  986, XX,  34, NEQ,   95,   70,   70,   70, 1004,  170,  15,   0,   0,   P,   0,   X, 140,   7,       RITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112518,   , BEST,   0, 130S, 1703E,  60,  988, XX,  34, NEQ,   80,   75,   60,   70, 1006,  170,  15,   0,   0,   P,   0,   X, 160,   5,       RITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112600,   , BEST,   0, 145S, 1698E,  60,  989, XX,  34, NEQ,   70,   85,   60,   50, 1006,  170,  15,   0,   0,   P,   0,   X, 195,   8,       RITA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112606,   , BEST,   0, 141S, 1696E,  40,  998, XX,  34, NEQ,   65,   85,   55,   60, 1006,  155,  25,   0,   0,   P,   0,   X, 210,   5,       RITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112612,   , BEST,   0, 144S, 1696E,  35, 1000, XX,  34, NEQ,   65,   80,   65,   70, 1006,  155,  25,   0,   0,   P,   0,   X, 200,   4,       RITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112618,   , BEST,   0, 148S, 1689E,  35, 1001, XX,  34, NEQ,   85,   70,   45,   55, 1006,  135,  25,   0,   0,   P,   0,   X, 220,   5,       RITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
SH, 01, 2019112706,   , BEST,   0, 154S, 1691E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  120,  25,   0,   0,   P,   0,   X, 200,   4,       RITA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH012020, JTWC, NCEP_TCVITALS, 
