SH, 20, 2020022318,   , BEST,   0, 134S, 1187E,  35, 1002, XX,  34, NEQ,   35,   30,   75,   70, 1007,  165,  30,   0,   0,   S,   0,   X, 200,   5,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022400,   , BEST,   0, 140S, 1181E,  40, 1002, XX,  34, NEQ,   40,   60,   50,   40, 1009,  185,  30,   0,   0,   S,   0,   X, 210,   6,     TWENTY, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022406,   , BEST,   0, 144S, 1179E,  45,  999, XX,  34, NEQ,   40,   55,   55,   40, 1008,  185,  25,   0,   0,   S,   0,   X, 215,   6,  FERDINAND, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022412,   , BEST,   0, 149S, 1175E,  55,  992, XX,  34, NEQ,   55,   55,   55,   55, 1007,  160,  20,   0,   0,   S,   0,   X, 220,   6,  FERDINAND, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022418,   , BEST,   0, 151S, 1172E,  60,  990, XX,  34, NEQ,   40,   60,   45,   40, 1007,  165,  25,   0,   0,   S,   0,   X, 225,   6,  FERDINAND, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022500,   , BEST,   0, 153S, 1171E,  65,  986, XX,  34, NEQ,   50,   60,   40,   50, 1008,  160,  15,   0,   0,   S,   0,   X, 225,   4,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022506,   , BEST,   0, 155S, 1168E,  85,  970, XX,  34, NEQ,   65,   50,   50,   60, 1006,  175,   6,   0,   0,   S,   0,   X, 230,   3,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022512,   , BEST,   0, 158S, 1165E,  90,  967, XX,  34, NEQ,   65,   50,   50,   60, 1006,  175,   6,   0,   0,   S,   0,   X, 225,   4,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022518,   , BEST,   0, 159S, 1160E,  95,  962, XX,  34, NEQ,   55,   60,   35,   50, 1005,  170,   5,   0,   0,   S,   0,   X, 240,   4,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022600,   , BEST,   0, 158S, 1155E,  95,  963, XX,  34, NEQ,   50,   65,   45,   50, 1006,  165,  10,   0,   0,   S,   0,   X, 255,   4,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022606,   , BEST,   0, 161S, 1152E,  95,  962, XX,  34, NEQ,   50,   55,   65,   55, 1005,  175,  10,   0,   0,   S,   0,   X, 255,   4,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022612,   , BEST,   0, 163S, 1148E,  95,  962, XX,  34, NEQ,   65,   70,   65,   55, 1005,  180,  10,   0,   0,   S,   0,   X, 250,   4,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022618,   , BEST,   0, 165S, 1146E,  90,  966, XX,  34, NEQ,   35,   25,   40,   30, 1005,  165,  10,   0,   0,   S,   0,   X, 230,   4,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022700,   , BEST,   0, 165S, 1144E,  80,  974, XX,  34, NEQ,   35,   45,   45,   45, 1006,  155,  10,   0,   0,   S,   0,   X, 240,   3,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022706,   , BEST,   0, 166S, 1142E,  65,  984, XX,  34, NEQ,   45,   50,   45,   45, 1006,  155,   5,   0,   0,   S,   0,   X, 240,   2,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022712,   , BEST,   0, 169S, 1140E,  55,  991, XX,  34, NEQ,   45,   45,   45,   45, 1006,  160,  20,   0,   0,   S,   0,   X, 240,   3,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022718,   , BEST,   0, 168S, 1136E,  55,  990, XX,  34, NEQ,   40,   40,   40,   40, 1005,  135,  20,   0,   0,   S,   0,   X, 250,   3,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022800,   , BEST,   0, 164S, 1133E,  50,  994, XX,  34, NEQ,   40,   40,   50,   45, 1006,  150,  15,   0,   0,   S,   0,   X, 285,   3,  FERDINAND, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
SH, 20, 2020022806,   , BEST,   0, 165S, 1129E,  45,  996, XX,  34, NEQ,   40,   45,   50,   45, 1005,  150,  15,   0,   0,   S,   0,   X, 285,   4,  FERDINAND, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH202020, JTWC, NCEP_TCVITALS, 
