SH, 02, 2019120500,   , BEST,   0, 062S, 0512E,  35, 1002, XX,  34, NEQ,    0,   95,    0,   85, 1009,  130,  25,   0,   0,   S,   0,   X, 280,   2,        TWO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120506,   , BEST,   0, 065S, 0512E,  40,  998, XX,  34, NEQ,   90,   95,   60,   90, 1008,  210,  25,   0,   0,   S,   0,   X, 270,   1,        TWO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120512,   , BEST,   0, 068S, 0507E,  45,  997, XX,  34, NEQ,   95,   75,   60,   85, 1008,  195,  25,   0,   0,   S,   0,   X, 250,   3,        TWO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120518,   , BEST,   0, 071S, 0499E,  55,  994, XX,  34, NEQ,   80,   70,   55,   75, 1010,  180,  25,   0,   0,   S,   0,   X, 250,   5,        TWO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120600,   , BEST,   0, 078S, 0493E,  65,  987, XX,  34, NEQ,   55,   55,   45,   75, 1008,  180,  10,   0,   0,   S,   0,   X, 235,   6,      BELNA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120606,   , BEST,   0, 079S, 0487E,  65,  989, XX,  34, NEQ,   75,   75,   50,   70, 1010,  170,  10,   0,   0,   S,   0,   X, 240,   8,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120612,   , BEST,   0, 086S, 0485E,  65,  986, XX,  34, NEQ,   75,   80,   60,   65, 1007,  170,  10,   0,   0,   S,   0,   X, 220,   6,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120618,   , BEST,   0, 092S, 0484E,  65,  988, XX,  34, NEQ,   75,   65,   45,   45, 1009,  175,  10,   0,   0,   S,   0,   X, 200,   6,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120700,   , BEST,   0, 090S, 0480E,  75,  981, XX,  34, NEQ,   55,   70,   55,   40, 1009,  160,  10,   0,   0,   S,   0,   X, 215,   4,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120706,   , BEST,   0, 096S, 0474E,  85,  974, XX,  34, NEQ,   85,   80,   65,   45, 1009,  170,   5,   0,   0,   S,   0,   X, 225,   5,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120712,   , BEST,   0, 103S, 0474E, 100,  959, XX,  34, NEQ,   85,   75,   70,   50, 1006,  165,   5,   0,   0,   S,   0,   X, 210,   6,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120718,   , BEST,   0, 109S, 0472E, 100,  960, XX,  34, NEQ,   85,   85,   70,   65, 1007,  140,   5,   0,   0,   S,   0,   X, 200,   6,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120800,   , BEST,   0, 118S, 0466E,  90,  969, XX,  34, NEQ,   85,   85,   70,   65, 1007,  140,   5,   0,   0,   S,   0,   X, 200,   8,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120806,   , BEST,   0, 120S, 0466E,  90,  970, XX,  34, NEQ,   50,   55,   45,   45, 1008,  135,   5,   0,   0,   S,   0,   X, 200,   6,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120812,   , BEST,   0, 124S, 0465E,  85,  971, XX,  34, NEQ,   50,   55,   50,   45, 1005,  140,   5,   0,   0,   S,   0,   X, 205,   6,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120818,   , BEST,   0, 129S, 0463E,  90,  967, XX,  34, NEQ,   50,   55,   50,   45, 1005,  140,   5,   0,   0,   S,   0,   X, 200,   6,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120900,   , BEST,   0, 136S, 0460E,  80,  974, XX,  34, NEQ,   50,   55,   50,   45, 1005,  140,   5,   0,   0,   S,   0,   X, 200,   6,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120906,   , BEST,   0, 146S, 0456E,  80,  979, XX,  34, NEQ,   55,   45,   70,   50, 1009,  130,   5,   0,   0,   S,   0,   X, 200,   8,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120912,   , BEST,   0, 157S, 0453E,  80,  978, XX,  34, NEQ,   60,   50,   65,   50, 1007,  135,   5,   0,   0,   S,   0,   X, 200,  10,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019120918,   , BEST,   0, 165S, 0448E,  75,  983, XX,  34, NEQ,   60,   40,   40,   55, 1009,  145,   5,   0,   0,   S,   0,   X, 200,  10,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019121000,   , BEST,   0, 174S, 0447E,  65,  988, XX,  34, NEQ,   40,   30,   35,   35, 1007,  135,   5,   0,   0,   S,   0,   X, 195,  10,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019121006,   , BEST,   0, 183S, 0448E,  60,  991, XX,  34, NEQ,   45,   45,   40,   40, 1007,  135,  10,   0,   0,   S,   0,   X, 190,   9,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019121012,   , BEST,   0, 193S, 0448E,  55,  993, XX,  34, NEQ,   40,   40,   50,   50, 1007,  135,  15,   0,   0,   S,   0,   X, 180,   9,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019121018,   , BEST,   0, 198S, 0451E,  45, 1001, XX,  34, NEQ,   45,   40,   35,   30, 1009,  115,  15,   0,   0,   S,   0,   X, 170,   8,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019121100,   , BEST,   0, 205S, 0455E,  35, 1006, XX,  34, NEQ,   35,   30,   25,   20, 1009,  110,  15,   0,   0,   S,   0,   X, 165,   8,      BELNA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
SH, 02, 2019121106,   , BEST,   0, 210S, 0450E,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1011,  120,  20,   0,   0,   S,   0,   X, 175,   6,      BELNA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH022020, JTWC, NCEP_TCVITALS, 
