SH, 24, 2020040206,   , BEST,   0, 131S, 0695E,  35,  997, XX,  34, NEQ,  125,   25,   75,  100, 1004,  190,  45,   0,   0,   S,   0,   X, 180,   1,    IRONDRO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040212,   , BEST,   0, 133S, 0698E,  40,  995, XX,  34, NEQ,  125,   25,   75,  100, 1004,  190,  40,   0,   0,   S,   0,   X, 145,   3,    IRONDRO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040218,   , BEST,   0, 149S, 0716E,  45,  993, XX,  34, NEQ,  130,   80,    0,  140, 1004,  210,  50,   0,   0,   S,   0,   X, 130,  10,    IRONDRO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040300,   , BEST,   0, 164S, 0729E,  50,  991, XX,  34, NEQ,  130,   80,   55,  135, 1003,  210,  20,   0,   0,   S,   0,   X, 135,  15,    IRONDRO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040306,   , BEST,   0, 175S, 0733E,  55,  987, XX,  34, NEQ,  150,  115,  135,  140, 1003,  210,  25,   0,   0,   S,   0,   X, 150,  14,    IRONDRO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040312,   , BEST,   0, 186S, 0742E,  60,  984, XX,  34, NEQ,  160,  125,   85,  125, 1002,  210,  20,   0,   0,   S,   0,   X, 145,  14,    IRONDRO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040318,   , BEST,   0, 195S, 0758E,  75,  975, XX,  34, NEQ,  175,  160,  165,  125, 1004,  210,  30,   0,   0,   S,   0,   X, 140,  15,    IRONDRO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040400,   , BEST,   0, 208S, 0768E,  90,  962, XX,  34, NEQ,  180,  160,  155,  135, 1003,  225,   6,   0,   0,   S,   0,   X, 135,  16,    IRONDRO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040406,   , BEST,   0, 215S, 0783E,  95,  959, XX,  34, NEQ,  175,  180,  140,  170, 1005,  225,   5,   0,   0,   S,   0,   X, 130,  16,    IRONDRO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040412,   , BEST,   0, 224S, 0794E,  95,  958, XX,  34, NEQ,  175,  180,  140,  170, 1005,  225,   5,   0,   0,   S,   0,   X, 130,  15,    IRONDRO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040418,   , BEST,   0, 230S, 0809E,  95,  958, XX,  34, NEQ,  180,  190,  160,  155, 1005,  240,   5,   0,   0,   S,   0,   X, 120,  15,    IRONDRO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040500,   , BEST,   0, 237S, 0825E,  90,  961, XX,  34, NEQ,  180,  175,  140,  145, 1006,  240,   5,   0,   0,   S,   0,   X, 120,  15,    IRONDRO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040506,   , BEST,   0, 242S, 0843E,  80,  970, XX,  34, NEQ,  160,  160,  175,  145, 1007,  240,   5,   0,   0,   S,   0,   X, 115,  16,    IRONDRO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040512,   , BEST,   0, 245S, 0863E,  65,  982, XX,  34, NEQ,  145,  110,   90,  115, 1006,  240,  25,   0,   0,   S,   0,   X, 110,  17,    IRONDRO, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040518,   , BEST,   0, 248S, 0886E,  55,  988, XX,  34, NEQ,  120,  130,  100,   90, 1006,  250,  30,   0,   0,   S,   0,   X, 100,  19,    IRONDRO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040600,   , BEST,   0, 264S, 0885E,  45,  992, XX,  34, NEQ,   70,  100,   80,   65, 1006,  250,  35,   0,   0,   S,   0,   X, 120,  15,    IRONDRO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040606,   , BEST,   0, 267S, 0895E,  40,  993, XX,  34, NEQ,  140,  135,  135,  140, 1006,  235,  75,   0,   0,   S,   0,   X, 130,  12,    IRONDRO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040612,   , BEST,   0, 267S, 0921E,  35,  999, XX,  34, NEQ,   80,   90,   80,   80, 1006,  235,  75,   0,   0,   S,   0,   X, 105,  14,    IRONDRO, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040618,   , BEST,   0, 282S, 0938E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1004,  200,  70,   0,   0,   S,   0,   X, 115,  17,    IRONDRO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
SH, 24, 2020040700,   , BEST,   0, 292S, 0963E,  30,  995, XX,  34, NEQ,    0,    0,    0,    0, 1001,  175,  75,   0,   0,   S,   0,   X, 120,  20,    IRONDRO, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH242020, JTWC, NCEP_TCVITALS, 
