SH, 27, 2020052100,   , BEST,   0, 077S, 0911E,  40,  998, XX,  34, NEQ,   70,    0,    0,   90, 1006,  250,  70,   0,   0,   S,   0,   X, 220,   5,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
SH, 27, 2020052106,   , BEST,   0, 091S, 0922E,  35,  998, XX,  34, NEQ,  115,  115,  135,  135, 1006,  250,  70,   0,   0,   S,   0,   X, 170,   7,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
SH, 27, 2020052112,   , BEST,   0, 093S, 0925E,  35,  998, XX,  34, NEQ,  115,  115,  135,  135, 1006,  250,  70,   0,   0,   S,   0,   X, 160,   6,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
SH, 27, 2020052118,   , BEST,   0, 098S, 0931E,  35,  998, XX,  34, NEQ,  160,    0,  135,  140, 1007,  270, 100,   0,   0,   S,   0,   X, 140,   6,  TWENTY-SE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
SH, 27, 2020052200,   , BEST,   0, 106S, 0938E,  35,  997, XX,  34, NEQ,  185,   55,  125,  140, 1005,  250, 100,   0,   0,   S,   0,   X, 140,   8,     MANGGA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
SH, 27, 2020052206,   , BEST,   0, 111S, 0942E,  35,  999, XX,  34, NEQ,  115,  115,   90,   45, 1005,  250,  80,   0,   0,   S,   0,   X, 140,   8,     MANGGA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
SH, 27, 2020052212,   , BEST,   0, 125S, 0952E,  35, 1000, XX,  34, NEQ,  115,  115,   90,   45, 1005,  250,  80,   0,   0,   S,   0,   X, 145,  11,     MANGGA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
SH, 27, 2020052218,   , BEST,   0, 142S, 0959E,  35,  998, XX,  34, NEQ,  220,    0,    0,    0, 1009,  390, 110,   0,   0,   S,   0,   X, 150,  14,     MANGGA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
SH, 27, 2020052300,   , BEST,   0, 156S, 0966E,  35,  996, XX,  34, NEQ,  150,    0,    0,    0, 1009,  435, 100,   0,   0,   S,   0,   X, 150,  16,     MANGGA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
SH, 27, 2020052306,   , BEST,   0, 177S, 0989E,  35,  998, XX,  34, NEQ,  195,    0,    0,    0, 1006,  310, 125,   0,   0,   S,   0,   X, 145,  21,     MANGGA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
SH, 27, 2020052312,   , BEST,   0, 192S, 1008E,  35,  998, XX,  34, NEQ,  195,    0,    0,    0, 1006,  310, 125,   0,   0,   S,   0,   X, 135,  23,     MANGGA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
SH, 27, 2020052318,   , BEST,   0, 216S, 1047E,  35,  996, XX,  34, NEQ,  205,  155,    0,    0, 1004,  195, 125,   0,   0,   S,   0,   X, 130,  30,     MANGGA, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH272020, JTWC, NCEP_TCVITALS, 
