SH, 04, 2019122606,   , BEST,   0, 132S, 1762E,  35,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122612,   , BEST,   0, 143S, 1758E,  45,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122618,   , BEST,   0, 156S, 1755E,  45,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122700,   , BEST,   0, 165S, 1754E,  50,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122706,   , BEST,   0, 179S, 1755E,  55,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122712,   , BEST,   0, 186S, 1761E,  55,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122718,   , BEST,   0, 191S, 1768E,  60,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122800,   , BEST,   0, 195S, 1775E,  65,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122806,   , BEST,   0, 201S, 1777E,  65,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122812,   , BEST,   0, 197S, 1783E,  70,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122818,   , BEST,   0, 198S, 1783E,  70,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122900,   , BEST,   0, 198S, 1789E,  70,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122906,   , BEST,   0, 204S, 1798W,  65,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122912,   , BEST,   0, 203S, 1796W,  65,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019122918,   , BEST,   0, 204S, 1788W,  60,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019123000,   , BEST,   0, 206S, 1786W,  55,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019123006,   , BEST,   0, 210S, 1774W,  50,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019123012,   , BEST,   0, 211S, 1767W,  45,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019123018,   , BEST,   0, 210S, 1759W,  45,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019123100,   , BEST,   0, 206S, 1753W,  45,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2019123118,   , BEST,   0, 205S, 1713W,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  255,  70,   0,   0,   P,   0,   X,  90,  12,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2020010100,   , BEST,   0, 207S, 1686W,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2020010118,   , BEST,   0, 221S, 1618W,  40,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2020010200,   , BEST,   0, 229S, 1593W,  40,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2020010206,   , BEST,   0, 248S, 1565W,  40,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
SH, 04, 2020010212,   , BEST,   0, 271S, 1538W,  35,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  220,  70,   0,   0,   P,   0,   X,  95,  17,      SARAI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH042020, JTWC, NCEP_TCVITALS, 
