Date,Observed,Climatology
1-Jan,0,0.0
2-Jan,0,0.1
3-Jan,0,0.1
4-Jan,0,0.1
5-Jan,0,0.2
6-Jan,0,0.2
7-Jan,0,0.2
8-Jan,0,0.2
9-Jan,0,0.2
10-Jan,0,0.2
11-Jan,0,0.2
12-Jan,0,0.2
13-Jan,0,0.2
14-Jan,0,0.2
15-Jan,0,0.2
16-Jan,0,0.2
17-Jan,0,0.2
18-Jan,0,0.2
19-Jan,0,0.2
20-Jan,0,0.2
21-Jan,0,0.2
22-Jan,0,0.2
23-Jan,0,0.2
24-Jan,0,0.2
25-Jan,0,0.2
26-Jan,0,0.2
27-Jan,0,0.2
28-Jan,0,0.2
29-Jan,0,0.2
30-Jan,0,0.2
31-Jan,0,0.2
1-Feb,0,0.2
2-Feb,0,0.2
3-Feb,0,0.2
4-Feb,0,0.2
5-Feb,0,0.2
6-Feb,0,0.2
7-Feb,0,0.2
8-Feb,0,0.2
9-Feb,0,0.2
10-Feb,0,0.2
11-Feb,0,0.2
12-Feb,0,0.2
13-Feb,0,0.2
14-Feb,0,0.2
15-Feb,0,0.2
16-Feb,0,0.2
17-Feb,0,0.2
18-Feb,0,0.2
19-Feb,0,0.2
20-Feb,0,0.2
21-Feb,0,0.2
22-Feb,0,0.2
23-Feb,0,0.2
24-Feb,0,0.2
25-Feb,0,0.2
26-Feb,0,0.2
27-Feb,0,0.2
28-Feb,0,0.2
29-Feb,0,0.2
1-Mar,0,0.2
2-Mar,0,0.2
3-Mar,0,0.2
4-Mar,0,0.2
5-Mar,0,0.2
6-Mar,0,0.2
7-Mar,0,0.2
8-Mar,0,0.2
9-Mar,0,0.2
10-Mar,0,0.2
11-Mar,0,0.2
12-Mar,0,0.2
13-Mar,0,0.2
14-Mar,0,0.2
15-Mar,0,0.2
16-Mar,0,0.2
17-Mar,0,0.2
18-Mar,0,0.2
19-Mar,0,0.2
20-Mar,0,0.2
21-Mar,0,0.2
22-Mar,0,0.2
23-Mar,0,0.2
24-Mar,0,0.2
25-Mar,0,0.2
26-Mar,0,0.2
27-Mar,0,0.2
28-Mar,0,0.2
29-Mar,0,0.2
30-Mar,0,0.2
31-Mar,0,0.2
1-Apr,0,0.2
2-Apr,0,0.2
3-Apr,0,0.2
4-Apr,0,0.2
5-Apr,0,0.2
6-Apr,0,0.2
7-Apr,0,0.2
8-Apr,0,0.2
9-Apr,0,0.2
10-Apr,0,0.2
11-Apr,0,0.2
12-Apr,0,0.2
13-Apr,0,0.2
14-Apr,0,0.2
15-Apr,0,0.2
16-Apr,0,0.2
17-Apr,0,0.2
18-Apr,0,0.2
19-Apr,0,0.2
20-Apr,0,0.2
21-Apr,0,0.2
22-Apr,0,0.2
23-Apr,0,0.3
24-Apr,0,0.3
25-Apr,0,0.3
26-Apr,0,0.3
27-Apr,0,0.3
28-Apr,0,0.3
29-Apr,0,0.3
30-Apr,0,0.3
1-May,0,0.3
2-May,0,0.3
3-May,0,0.3
4-May,0,0.3
5-May,0,0.3
6-May,0,0.3
7-May,0,0.3
8-May,0,0.3
9-May,0,0.3
10-May,0,0.3
11-May,0,0.4
12-May,0,0.4
13-May,0,0.4
14-May,0,0.4
15-May,0,0.4
16-May,0,0.4
17-May,0.7,0.4
18-May,1.5,0.4
19-May,1.8,0.4
20-May,1.8,0.4
21-May,1.8,0.4
22-May,1.8,0.4
23-May,1.8,0.4
24-May,1.8,0.4
25-May,1.8,0.4
26-May,1.8,0.4
27-May,2.1,0.4
28-May,2.1,0.4
29-May,2.1,0.4
30-May,2.1,0.4
31-May,2.1,0.4
1-Jun,,0.4
2-Jun,,0.4
3-Jun,,0.4
4-Jun,,0.5
5-Jun,,0.6
6-Jun,,0.6
7-Jun,,0.7
8-Jun,,0.7
9-Jun,,0.7
10-Jun,,0.7
11-Jun,,0.7
12-Jun,,0.8
13-Jun,,0.9
14-Jun,,0.9
15-Jun,,1.0
16-Jun,,1.0
17-Jun,,1.0
18-Jun,,1.0
19-Jun,,1.0
20-Jun,,1.1
21-Jun,,1.2
22-Jun,,1.2
23-Jun,,1.2
24-Jun,,1.2
25-Jun,,1.2
26-Jun,,1.2
27-Jun,,1.3
28-Jun,,1.3
29-Jun,,1.4
30-Jun,,1.4
1-Jul,,1.6
2-Jul,,1.7
3-Jul,,1.7
4-Jul,,1.8
5-Jul,,1.8
6-Jul,,1.9
7-Jul,,2.0
8-Jul,,2.3
9-Jul,,2.7
10-Jul,,3.1
11-Jul,,3.5
12-Jul,,3.7
13-Jul,,4.0
14-Jul,,4.2
15-Jul,,4.4
16-Jul,,4.7
17-Jul,,5.1
18-Jul,,5.5
19-Jul,,5.8
20-Jul,,6.2
21-Jul,,6.5
22-Jul,,6.6
23-Jul,,6.7
24-Jul,,6.8
25-Jul,,7.0
26-Jul,,7.1
27-Jul,,7.2
28-Jul,,7.2
29-Jul,,7.3
30-Jul,,7.5
31-Jul,,7.5
1-Aug,,7.7
2-Aug,,7.9
3-Aug,,8.2
4-Aug,,8.5
5-Aug,,8.9
6-Aug,,9.3
7-Aug,,9.6
8-Aug,,10.0
9-Aug,,10.3
10-Aug,,10.4
11-Aug,,10.7
12-Aug,,11.0
13-Aug,,11.5
14-Aug,,12.0
15-Aug,,12.4
16-Aug,,13.0
17-Aug,,13.7
18-Aug,,14.4
19-Aug,,15.4
20-Aug,,16.3
21-Aug,,17.3
22-Aug,,18.3
23-Aug,,19.3
24-Aug,,20.4
25-Aug,,21.3
26-Aug,,22.4
27-Aug,,23.8
28-Aug,,25.2
29-Aug,,27.0
30-Aug,,28.7
31-Aug,,30.5
1-Sep,,32.4
2-Sep,,34.5
3-Sep,,36.4
4-Sep,,38.2
5-Sep,,39.8
6-Sep,,41.4
7-Sep,,42.9
8-Sep,,44.5
9-Sep,,46.2
10-Sep,,48.0
11-Sep,,49.8
12-Sep,,51.8
13-Sep,,53.9
14-Sep,,56.3
15-Sep,,58.8
16-Sep,,61.3
17-Sep,,63.5
18-Sep,,65.3
19-Sep,,67.0
20-Sep,,68.5
21-Sep,,70.1
22-Sep,,71.7
23-Sep,,73.3
24-Sep,,74.8
25-Sep,,76.4
26-Sep,,78.0
27-Sep,,79.4
28-Sep,,80.7
29-Sep,,82.1
30-Sep,,83.1
1-Oct,,83.9
2-Oct,,84.6
3-Oct,,85.3
4-Oct,,85.7
5-Oct,,86.3
6-Oct,,86.8
7-Oct,,87.3
8-Oct,,87.7
9-Oct,,88.2
10-Oct,,88.6
11-Oct,,88.9
12-Oct,,89.3
13-Oct,,89.7
14-Oct,,90.1
15-Oct,,90.5
16-Oct,,90.9
17-Oct,,91.4
18-Oct,,91.8
19-Oct,,92.4
20-Oct,,93.2
21-Oct,,93.7
22-Oct,,94.2
23-Oct,,94.7
24-Oct,,95.1
25-Oct,,95.5
26-Oct,,96.0
27-Oct,,96.4
28-Oct,,96.9
29-Oct,,97.3
30-Oct,,97.7
31-Oct,,98.1
1-Nov,,98.4
2-Nov,,98.6
3-Nov,,98.8
4-Nov,,99.0
5-Nov,,99.3
6-Nov,,99.7
7-Nov,,99.9
8-Nov,,100.2
9-Nov,,100.6
10-Nov,,100.8
11-Nov,,100.9
12-Nov,,101.0
13-Nov,,101.1
14-Nov,,101.2
15-Nov,,101.3
16-Nov,,101.4
17-Nov,,101.6
18-Nov,,101.9
19-Nov,,102.3
20-Nov,,102.6
21-Nov,,102.9
22-Nov,,103.1
23-Nov,,103.3
24-Nov,,103.3
25-Nov,,103.5
26-Nov,,103.6
27-Nov,,103.7
28-Nov,,103.8
29-Nov,,104.0
30-Nov,,104.1
1-Dec,,104.2
2-Dec,,104.4
3-Dec,,104.5
4-Dec,,104.6
5-Dec,,104.6
6-Dec,,104.7
7-Dec,,104.8
8-Dec,,104.9
9-Dec,,104.9
10-Dec,,105.0
11-Dec,,105.0
12-Dec,,105.0
13-Dec,,105.0
14-Dec,,105.1
15-Dec,,105.1
16-Dec,,105.2
17-Dec,,105.2
18-Dec,,105.2
19-Dec,,105.3
20-Dec,,105.3
21-Dec,,105.4
22-Dec,,105.4
23-Dec,,105.5
24-Dec,,105.6
25-Dec,,105.6
26-Dec,,105.6
27-Dec,,105.6
28-Dec,,105.6
29-Dec,,105.6
30-Dec,,105.6
31-Dec,,105.6
