Date,Observed,Climatology
1-Jan,0,0.0
2-Jan,0,0.0
3-Jan,0,0.0
4-Jan,0,0.0
5-Jan,0,0.0
6-Jan,0,0.0
7-Jan,0,0.0
8-Jan,0,0.0
9-Jan,0,0.0
10-Jan,0,0.0
11-Jan,0,0.0
12-Jan,0,0.0
13-Jan,0,0.0
14-Jan,0,0.0
15-Jan,0,0.0
16-Jan,0,0.0
17-Jan,0,0.0
18-Jan,0,0.0
19-Jan,0,0.0
20-Jan,0,0.0
21-Jan,0,0.0
22-Jan,0,0.0
23-Jan,0,0.0
24-Jan,0,0.0
25-Jan,0,0.0
26-Jan,0,0.0
27-Jan,0,0.0
28-Jan,0,0.0
29-Jan,0,0.1
30-Jan,0,0.1
31-Jan,0,0.2
1-Feb,0,0.3
2-Feb,0,0.4
3-Feb,0,0.5
4-Feb,0,0.5
5-Feb,0,0.5
6-Feb,0,0.5
7-Feb,0,0.5
8-Feb,0,0.5
9-Feb,0,0.5
10-Feb,0,0.5
11-Feb,0,0.5
12-Feb,0,0.5
13-Feb,0,0.5
14-Feb,0,0.5
15-Feb,0,0.5
16-Feb,0,0.5
17-Feb,0,0.5
18-Feb,0,0.5
19-Feb,0,0.5
20-Feb,0,0.5
21-Feb,0,0.5
22-Feb,0,0.5
23-Feb,0,0.5
24-Feb,0,0.5
25-Feb,0,0.5
26-Feb,0,0.5
27-Feb,0,0.5
28-Feb,0,0.5
29-Feb,0,0.5
1-Mar,0,0.5
2-Mar,0,0.5
3-Mar,0,0.5
4-Mar,0,0.5
5-Mar,0,0.5
6-Mar,0,0.5
7-Mar,0,0.5
8-Mar,0,0.5
9-Mar,0,0.5
10-Mar,0,0.5
11-Mar,0,0.5
12-Mar,0,0.5
13-Mar,0,0.5
14-Mar,0,0.5
15-Mar,0,0.5
16-Mar,0,0.5
17-Mar,0,0.5
18-Mar,0,0.5
19-Mar,0,0.5
20-Mar,0,0.5
21-Mar,0,0.5
22-Mar,0,0.5
23-Mar,0,0.5
24-Mar,0,0.5
25-Mar,0,0.5
26-Mar,0,0.5
27-Mar,0,0.5
28-Mar,0,0.5
29-Mar,0,0.5
30-Mar,0,0.5
31-Mar,0,0.5
1-Apr,0,0.5
2-Apr,0,0.5
3-Apr,0,0.5
4-Apr,0,0.5
5-Apr,0,0.5
6-Apr,0,0.5
7-Apr,0,0.5
8-Apr,0,0.5
9-Apr,0,0.5
10-Apr,0,0.5
11-Apr,0,0.5
12-Apr,0,0.5
13-Apr,0,0.5
14-Apr,0,0.5
15-Apr,0,0.5
16-Apr,0,0.5
17-Apr,0,0.5
18-Apr,0,0.5
19-Apr,0,0.5
20-Apr,0,0.5
21-Apr,0,0.5
22-Apr,0,0.5
23-Apr,0,0.5
24-Apr,0,0.5
25-Apr,0,0.5
26-Apr,0,0.5
27-Apr,0,0.5
28-Apr,0,0.5
29-Apr,0,0.5
30-Apr,0,0.5
1-May,0,0.5
2-May,0,0.5
3-May,0,0.5
4-May,0,0.5
5-May,0,0.5
6-May,0,0.5
7-May,0,0.5
8-May,0,0.5
9-May,0,0.5
10-May,0,0.5
11-May,0,0.5
12-May,0,0.5
13-May,0,0.5
14-May,0,0.5
15-May,0,0.5
16-May,0,0.6
17-May,0,0.7
18-May,0,0.7
19-May,0,0.8
20-May,0,0.9
21-May,0,0.9
22-May,0,1.0
23-May,0,1.1
24-May,0,1.2
25-May,0,1.5
26-May,0,1.7
27-May,0,1.9
28-May,0,2.1
29-May,0,2.3
30-May,0,2.7
31-May,0.2,3.0
1-Jun,,3.2
2-Jun,,3.3
3-Jun,,3.4
4-Jun,,3.5
5-Jun,,3.6
6-Jun,,3.7
7-Jun,,3.8
8-Jun,,3.9
9-Jun,,3.9
10-Jun,,4.1
11-Jun,,4.2
12-Jun,,4.4
13-Jun,,4.6
14-Jun,,4.9
15-Jun,,5.4
16-Jun,,5.6
