Date,Observed,Climatology
1-Jan,0,0.0
2-Jan,0,0.0
3-Jan,0,0.0
4-Jan,0,0.0
5-Jan,0,0.0
6-Jan,0,0.0
7-Jan,0,0.0
8-Jan,0,0.0
9-Jan,0,0.0
10-Jan,0,0.1
11-Jan,0,0.1
12-Jan,0,0.1
13-Jan,0,0.1
14-Jan,0,0.1
15-Jan,0,0.1
16-Jan,0,0.1
17-Jan,0,0.1
18-Jan,0,0.2
19-Jan,0,0.2
20-Jan,0,0.2
21-Jan,0,0.2
22-Jan,0,0.2
23-Jan,0,0.2
24-Jan,0,0.2
25-Jan,0,0.2
26-Jan,0,0.2
27-Jan,0,0.2
28-Jan,0,0.2
29-Jan,0,0.2
30-Jan,0,0.2
31-Jan,0,0.2
1-Feb,0,0.2
2-Feb,0,0.2
3-Feb,0,0.2
4-Feb,0,0.3
5-Feb,0,0.3
6-Feb,0,0.3
7-Feb,0,0.3
8-Feb,0,0.3
9-Feb,0,0.3
10-Feb,0,0.3
11-Feb,0,0.3
12-Feb,0,0.3
13-Feb,0,0.3
14-Feb,0,0.3
15-Feb,0,0.3
16-Feb,0,0.3
17-Feb,0,0.3
18-Feb,0,0.3
19-Feb,0,0.3
20-Feb,0,0.3
21-Feb,0,0.3
22-Feb,0,0.3
23-Feb,0,0.3
24-Feb,0,0.3
25-Feb,0,0.3
26-Feb,0,0.3
27-Feb,0,0.3
28-Feb,0,0.3
29-Feb,0,0.3
1-Mar,0,0.3
2-Mar,0,0.3
3-Mar,0,0.3
4-Mar,0,0.3
5-Mar,0,0.3
6-Mar,0,0.3
7-Mar,0,0.3
8-Mar,0,0.3
9-Mar,0,0.3
10-Mar,0,0.3
11-Mar,0,0.3
12-Mar,0,0.3
13-Mar,0,0.3
14-Mar,0,0.3
15-Mar,0,0.3
16-Mar,0,0.3
17-Mar,0,0.3
18-Mar,0,0.3
19-Mar,0,0.3
20-Mar,0,0.3
21-Mar,0,0.3
22-Mar,0,0.3
23-Mar,0,0.3
24-Mar,0,0.3
25-Mar,0,0.3
26-Mar,0,0.3
27-Mar,0,0.3
28-Mar,0,0.3
29-Mar,0,0.3
30-Mar,0,0.3
31-Mar,0,0.3
1-Apr,0,0.3
2-Apr,0,0.3
3-Apr,0,0.3
4-Apr,0,0.3
5-Apr,0,0.3
6-Apr,0,0.3
7-Apr,0,0.3
8-Apr,0,0.3
9-Apr,0,0.3
10-Apr,0,0.3
11-Apr,0,0.3
12-Apr,0,0.3
13-Apr,0,0.3
14-Apr,0,0.3
15-Apr,0,0.3
16-Apr,0,0.3
17-Apr,0,0.3
18-Apr,0,0.4
19-Apr,0,0.4
20-Apr,0,0.4
21-Apr,0,0.4
22-Apr,0,0.4
23-Apr,0,0.4
24-Apr,0,0.4
25-Apr,0,0.4
26-Apr,0,0.4
27-Apr,0,0.5
28-Apr,0,0.6
29-Apr,0,1.0
30-Apr,0,1.4
1-May,0,1.6
2-May,0,1.8
3-May,0,2.1
4-May,0,2.3
5-May,0,2.4
6-May,0,2.5
7-May,0,2.5
8-May,0,2.7
9-May,0,2.9
10-May,0,3.1
11-May,0,3.2
12-May,0,3.2
13-May,0,3.3
14-May,0,3.3
15-May,0,3.4
16-May,0.7,3.4
17-May,4.7,3.5
18-May,11.9,3.7
19-May,16.0,4.1
20-May,17.8,4.6
21-May,17.8,4.8
22-May,17.8,5.0
23-May,17.8,5.0
24-May,17.8,5.1
25-May,17.8,5.4
26-May,17.8,5.5
27-May,17.8,5.6
28-May,17.8,5.7
29-May,17.8,5.7
30-May,17.8,5.8
31-May,17.8,5.8
1-Jun,,5.8
2-Jun,,5.9
3-Jun,,6.2
4-Jun,,6.5
5-Jun,,6.8
6-Jun,,7.1
7-Jun,,7.3
8-Jun,,7.5
9-Jun,,7.7
10-Jun,,7.8
11-Jun,,7.8
12-Jun,,7.9
13-Jun,,7.9
