Date,Observed,Climatology
1-Jan,0,0.0
2-Jan,0,0.1
3-Jan,0,0.2
4-Jan,0,0.3
5-Jan,0,0.3
6-Jan,0,0.3
7-Jan,0,0.4
8-Jan,0,0.5
9-Jan,0,0.7
10-Jan,0,0.9
11-Jan,0,1.2
12-Jan,0,1.5
13-Jan,0,1.7
14-Jan,0,1.9
15-Jan,0,2.1
16-Jan,0,2.2
17-Jan,0,2.3
18-Jan,0,2.4
19-Jan,0,2.5
20-Jan,0,2.5
21-Jan,0,2.5
22-Jan,0,2.5
23-Jan,0,2.5
24-Jan,0,2.5
25-Jan,0,2.5
26-Jan,0,2.5
27-Jan,0,2.5
28-Jan,0,2.5
29-Jan,0,2.5
30-Jan,0,2.5
31-Jan,0,2.5
1-Feb,0,2.5
2-Feb,0,2.6
3-Feb,0,2.6
4-Feb,0,2.7
5-Feb,0,2.8
6-Feb,0,2.8
7-Feb,0,2.8
8-Feb,0,2.8
9-Feb,0,2.8
10-Feb,0,2.8
11-Feb,0,2.8
12-Feb,0,2.8
13-Feb,0,2.8
14-Feb,0,2.8
15-Feb,0,2.8
16-Feb,0,2.8
17-Feb,0,2.8
18-Feb,0,2.8
19-Feb,0,2.8
20-Feb,0,2.8
21-Feb,0,2.8
22-Feb,0,2.8
23-Feb,0,2.8
24-Feb,0,2.8
25-Feb,0,2.8
26-Feb,0,2.8
27-Feb,0,2.8
28-Feb,0,2.8
29-Feb,0,2.8
1-Mar,0,2.8
2-Mar,0,2.9
3-Mar,0,3.0
4-Mar,0,3.1
5-Mar,0,3.3
6-Mar,0,3.6
7-Mar,0,3.8
8-Mar,0,3.9
9-Mar,0,3.9
10-Mar,0,3.9
11-Mar,0,4.0
12-Mar,0,4.0
13-Mar,0,4.0
14-Mar,0,4.1
15-Mar,0,4.2
16-Mar,0,4.4
17-Mar,0,4.7
18-Mar,0,4.8
19-Mar,0,4.8
20-Mar,0,4.9
21-Mar,0,5.0
22-Mar,0,5.1
23-Mar,0,5.2
24-Mar,0,5.3
25-Mar,0,5.5
26-Mar,0,5.7
27-Mar,0,5.8
28-Mar,0,5.8
29-Mar,0,5.8
30-Mar,0,5.9
31-Mar,0,5.9
1-Apr,0,5.9
2-Apr,0,6.0
3-Apr,0,6.2
4-Apr,0,6.4
5-Apr,0,6.5
6-Apr,0,6.6
7-Apr,0,6.7
8-Apr,0,6.9
9-Apr,0,7.1
10-Apr,0,7.3
11-Apr,0,7.5
12-Apr,0,7.7
13-Apr,0,8.0
14-Apr,0,8.3
15-Apr,0,8.6
16-Apr,0,9.0
17-Apr,0,9.5
18-Apr,0,9.9
19-Apr,0,10.5
20-Apr,0,11.0
21-Apr,0,11.5
22-Apr,0,12.0
23-Apr,0,12.3
24-Apr,0,12.5
25-Apr,0,12.8
26-Apr,0,13.0
27-Apr,0,13.2
28-Apr,0,13.3
29-Apr,0,13.5
30-Apr,0,13.6
1-May,0,13.8
2-May,0,13.9
3-May,0,13.9
4-May,0,14.0
5-May,0,14.1
6-May,0,14.3
7-May,0,14.5
8-May,0,14.7
9-May,0,14.9
10-May,0,15.4
11-May,0,16.0
12-May,0.6,16.6
13-May,3.8,17.0
14-May,6.4,17.5
15-May,7.1,18.2
16-May,7.1,18.9
17-May,7.1,19.7
18-May,7.1,20.4
19-May,7.1,21.0
20-May,7.1,22.0
21-May,7.1,22.9
22-May,7.1,23.5
23-May,7.1,23.8
24-May,7.1,24.1
25-May,7.1,24.5
26-May,7.1,24.7
27-May,7.1,24.8
28-May,7.1,24.9
29-May,7.1,25.0
30-May,7.1,25.3
31-May,7.1,25.6
1-Jun,,25.9
2-Jun,,26.2
3-Jun,,26.6
4-Jun,,26.8
5-Jun,,27.2
6-Jun,,27.6
7-Jun,,28.0
8-Jun,,28.3
9-Jun,,28.6
10-Jun,,29.2
11-Jun,,29.7
12-Jun,,30.0
13-Jun,,30.3
14-Jun,,30.6
15-Jun,,30.8
16-Jun,,31.0
17-Jun,,31.4
18-Jun,,31.9
19-Jun,,32.5
20-Jun,,33.0
21-Jun,,33.5
22-Jun,,34.0
23-Jun,,34.6
24-Jun,,35.4
25-Jun,,36.1
26-Jun,,36.8
27-Jun,,37.4
28-Jun,,38.2
29-Jun,,39.0
30-Jun,,39.7
1-Jul,,40.2
2-Jul,,40.6
3-Jul,,41.0
4-Jul,,41.6
5-Jul,,42.4
6-Jul,,43.2
7-Jul,,43.9
8-Jul,,44.7
9-Jul,,45.5
10-Jul,,46.4
11-Jul,,47.4
12-Jul,,48.3
13-Jul,,49.3
14-Jul,,50.2
15-Jul,,51.1
16-Jul,,52.3
17-Jul,,53.6
18-Jul,,54.9
19-Jul,,56.1
20-Jul,,57.1
21-Jul,,58.2
22-Jul,,59.5
23-Jul,,60.8
24-Jul,,62.2
25-Jul,,63.6
26-Jul,,65.0
27-Jul,,66.5
28-Jul,,68.2
29-Jul,,69.8
30-Jul,,71.5
31-Jul,,72.9
1-Aug,,74.0
2-Aug,,74.9
3-Aug,,75.9
4-Aug,,77.0
5-Aug,,78.2
6-Aug,,79.6
7-Aug,,81.3
8-Aug,,83.2
9-Aug,,85.0
10-Aug,,86.6
11-Aug,,88.2
12-Aug,,89.8
13-Aug,,91.4
14-Aug,,93.0
15-Aug,,94.6
16-Aug,,96.3
17-Aug,,98.0
18-Aug,,99.7
19-Aug,,101.3
20-Aug,,103.1
21-Aug,,105.0
22-Aug,,107.4
23-Aug,,109.7
24-Aug,,111.6
25-Aug,,113.4
26-Aug,,115.4
27-Aug,,117.2
28-Aug,,119.2
29-Aug,,121.6
30-Aug,,124.6
31-Aug,,127.8
1-Sep,,130.9
2-Sep,,133.9
3-Sep,,136.1
4-Sep,,137.8
5-Sep,,139.4
6-Sep,,141.2
7-Sep,,143.0
8-Sep,,144.9
9-Sep,,147.0
10-Sep,,149.3
11-Sep,,151.8
12-Sep,,154.4
13-Sep,,156.3
14-Sep,,158.1
15-Sep,,160.1
16-Sep,,162.5
17-Sep,,165.0
18-Sep,,167.2
19-Sep,,169.2
20-Sep,,171.1
21-Sep,,173.0
22-Sep,,175.2
23-Sep,,177.8
24-Sep,,180.3
25-Sep,,182.7
26-Sep,,184.9
27-Sep,,187.2
28-Sep,,189.7
29-Sep,,192.0
30-Sep,,194.3
1-Oct,,196.2
2-Oct,,197.8
3-Oct,,199.3
4-Oct,,200.9
5-Oct,,203.0
6-Oct,,205.3
7-Oct,,207.1
8-Oct,,208.7
9-Oct,,210.3
10-Oct,,211.3
11-Oct,,212.1
12-Oct,,213.1
13-Oct,,214.3
14-Oct,,215.8
15-Oct,,217.4
16-Oct,,219.1
17-Oct,,221.3
18-Oct,,224.0
19-Oct,,226.6
20-Oct,,229.2
21-Oct,,232.0
22-Oct,,234.6
23-Oct,,236.7
24-Oct,,239.1
25-Oct,,241.6
26-Oct,,243.8
27-Oct,,245.6
28-Oct,,247.2
29-Oct,,248.7
30-Oct,,250.3
31-Oct,,251.7
1-Nov,,253.1
2-Nov,,254.6
3-Nov,,256.1
4-Nov,,257.6
5-Nov,,259.4
6-Nov,,261.0
7-Nov,,262.4
8-Nov,,263.3
9-Nov,,263.9
10-Nov,,264.9
11-Nov,,266.1
12-Nov,,267.2
13-Nov,,268.0
14-Nov,,268.5
15-Nov,,269.0
16-Nov,,269.6
17-Nov,,270.3
18-Nov,,271.0
19-Nov,,271.8
20-Nov,,272.9
21-Nov,,274.0
22-Nov,,275.3
23-Nov,,276.7
24-Nov,,278.1
25-Nov,,279.4
26-Nov,,280.9
27-Nov,,282.5
28-Nov,,284.2
29-Nov,,285.8
30-Nov,,287.2
1-Dec,,288.4
2-Dec,,289.4
3-Dec,,290.1
4-Dec,,290.7
5-Dec,,291.2
6-Dec,,291.6
7-Dec,,292.0
8-Dec,,292.6
9-Dec,,293.3
10-Dec,,294.0
11-Dec,,294.4
12-Dec,,294.8
13-Dec,,295.3
14-Dec,,295.7
15-Dec,,296.2
16-Dec,,296.8
17-Dec,,297.4
18-Dec,,298.3
19-Dec,,299.1
20-Dec,,300.0
21-Dec,,300.8
22-Dec,,301.5
23-Dec,,302.1
24-Dec,,302.7
25-Dec,,303.2
26-Dec,,303.7
27-Dec,,304.2
28-Dec,,304.5
29-Dec,,304.7
30-Dec,,304.9
31-Dec,,305.0
