Date,Observed,Climatology
1-Jul,0,0.0
2-Jul,0,0.0
3-Jul,0,0.0
4-Jul,0,0.0
5-Jul,0,0.0
6-Jul,0,0.0
7-Jul,0,0.0
8-Jul,0,0.0
9-Jul,0,0.0
10-Jul,0,0.0
11-Jul,0,0.0
12-Jul,0,0.0
13-Jul,0,0.0
14-Jul,0,0.0
15-Jul,0,0.0
16-Jul,0,0.0
17-Jul,0,0.0
18-Jul,0,0.0
19-Jul,0,0.0
20-Jul,0,0.0
21-Jul,0,0.0
22-Jul,0,0.0
23-Jul,0,0.0
24-Jul,0,0.0
25-Jul,0,0.0
26-Jul,0,0.0
27-Jul,0,0.0
28-Jul,0,0.0
29-Jul,0,0.0
30-Jul,0,0.0
31-Jul,0,0.0
1-Aug,0,0.0
2-Aug,0,0.0
3-Aug,0,0.0
4-Aug,0,0.0
5-Aug,0,0.0
6-Aug,0,0.0
7-Aug,0,0.0
8-Aug,0,0.0
9-Aug,0,0.0
10-Aug,0,0.0
11-Aug,0,0.0
12-Aug,0,0.0
13-Aug,0,0.0
14-Aug,0,0.0
15-Aug,0,0.0
16-Aug,0,0.0
17-Aug,0,0.0
18-Aug,0,0.0
19-Aug,0,0.0
20-Aug,0,0.0
21-Aug,0,0.0
22-Aug,0,0.0
23-Aug,0,0.0
24-Aug,0,0.0
25-Aug,0,0.0
26-Aug,0,0.0
27-Aug,0,0.0
28-Aug,0,0.0
29-Aug,0,0.0
30-Aug,0,0.0
31-Aug,0,0.0
1-Sep,0,0.0
2-Sep,0,0.0
3-Sep,0,0.0
4-Sep,0,0.0
5-Sep,0,0.0
6-Sep,0,0.0
7-Sep,0,0.0
8-Sep,0,0.0
9-Sep,0,0.0
10-Sep,0,0.0
11-Sep,0,0.0
12-Sep,0,0.0
13-Sep,0,0.0
14-Sep,0,0.0
15-Sep,0,0.0
16-Sep,0,0.0
17-Sep,0,0.0
18-Sep,0,0.0
19-Sep,0,0.0
20-Sep,0,0.0
21-Sep,0,0.0
22-Sep,0,0.0
23-Sep,0,0.0
24-Sep,0,0.0
25-Sep,0,0.0
26-Sep,0,0.0
27-Sep,0,0.0
28-Sep,0,0.0
29-Sep,0,0.0
30-Sep,0,0.0
1-Oct,0,0.0
2-Oct,0,0.0
3-Oct,0,0.0
4-Oct,0,0.0
5-Oct,0,0.0
6-Oct,0,0.0
7-Oct,0,0.0
8-Oct,0,0.0
9-Oct,0,0.0
10-Oct,0,0.1
11-Oct,0,0.1
12-Oct,0,0.1
13-Oct,0,0.1
14-Oct,0,0.1
15-Oct,0,0.1
16-Oct,0,0.1
17-Oct,0,0.1
18-Oct,0,0.1
19-Oct,0,0.1
20-Oct,0,0.1
21-Oct,0,0.1
22-Oct,0,0.2
23-Oct,0,0.2
24-Oct,0,0.4
25-Oct,0,0.4
26-Oct,0,0.4
27-Oct,0,0.4
28-Oct,0,0.4
29-Oct,0,0.4
30-Oct,0,0.5
31-Oct,0,0.5
1-Nov,0,0.6
2-Nov,0,0.7
3-Nov,0,0.9
4-Nov,0,1.0
5-Nov,0,1.0
6-Nov,0,1.1
7-Nov,0,1.1
8-Nov,0,1.1
9-Nov,0,1.1
10-Nov,0,1.1
11-Nov,0,1.1
12-Nov,0,1.1
13-Nov,0,1.1
14-Nov,0,1.2
15-Nov,0,1.3
16-Nov,0,1.4
17-Nov,0,1.6
18-Nov,0,1.7
19-Nov,0,1.9
20-Nov,0,1.9
21-Nov,0,1.9
22-Nov,0,2.0
23-Nov,0,2.1
24-Nov,0,2.2
25-Nov,0.8,2.3
26-Nov,2.4,2.5
27-Nov,3.2,2.7
28-Nov,3.2,2.9
29-Nov,3.2,2.9
30-Nov,3.2,3.0
1-Dec,3.2,3.0
2-Dec,3.2,3.0
3-Dec,3.2,3.0
4-Dec,3.2,3.0
5-Dec,3.2,3.1
6-Dec,3.2,3.3
7-Dec,3.2,3.9
8-Dec,3.2,4.4
9-Dec,3.2,4.9
10-Dec,3.2,5.3
11-Dec,3.2,5.5
12-Dec,3.2,5.8
13-Dec,3.2,5.9
14-Dec,3.2,6.0
15-Dec,3.2,6.1
16-Dec,3.2,6.2
17-Dec,3.2,6.2
18-Dec,3.2,6.3
19-Dec,3.2,6.3
20-Dec,3.2,6.4
21-Dec,3.2,6.5
22-Dec,3.2,6.7
23-Dec,3.2,7.0
24-Dec,3.2,7.2
25-Dec,3.2,7.5
26-Dec,3.2,7.9
27-Dec,3.7,8.5
28-Dec,4.9,9.2
29-Dec,6.7,9.9
30-Dec,8.4,10.5
31-Dec,9.3,11.1
1-Jan,9.5,11.5
2-Jan,9.7,12.1
3-Jan,10.1,12.7
4-Jan,10.1,13.5
5-Jan,10.1,14.6
6-Jan,10.1,15.6
7-Jan,10.1,16.3
8-Jan,10.1,17.0
